name,E_arc_total,T_gas_max,T_gas_min,T_liquid_max,T_liquid_min,T_solid_max,T_solid_min,alpha_liquid_max,alpha_liquid_min,alpha_solid_max,alpha_solid_min,exit,m_gas_final,m_liq_final,m_melted_total,m_sol_final,n_snapshots,n_steps,pressure_max,pressure_min,t_final,wall_s
c2_dt20,12375140.8,493.78891560222945,300.0,300.0,300.0,304.36625789240384,300.0,0.0,0.0,0.55,0.0,0,110.9010202,0.0,0.0,669818.0861,3,8.0,25885.981201269555,0.0,0.16,3.2
c2_dt10,12787640.8,667.9227758652856,300.0,300.0,300.0,305.2718595822934,300.0,0.0,0.0,0.55,0.0,0,110.7899477,0.0,0.0,669818.0861,5,16.0,6682.943977372823,0.0,0.16,5.9
c2_dt05,12993890.8,1086.6969183427861,300.0,300.0,300.0,306.4567136359416,300.0,0.0,0.0,0.55,0.0,0,110.3508385,0.0,0.0,669818.0861,8,32.0,6067.289389025565,0.0,0.16,11.2
c4_s4,17325266.2,497.89191414600367,300.0,300.0,300.0,303.7814417050463,300.0,0.0,0.0,0.55,0.0,0,110.5949962,0.0,0.0,669818.0861,4,11.0,19836.552010336887,0.0,0.22,0.7
c4_s6,17325266.2,497.8915720773245,300.0,300.0,300.0,303.7814387978759,300.0,0.0,0.0,0.55,0.0,0,110.5950004,0.0,0.0,669818.0861,4,11.0,19836.536830261954,0.0,0.22,0.9
c4_s8,17325266.2,497.89174835463876,300.0,300.0,300.0,303.7814392433745,300.0,0.0,0.0,0.55,0.0,0,110.5949978,0.0,0.0,669818.0861,4,11.0,19836.54685143202,0.0,0.22,1.1
