step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam,E_iph_sol,E_iph_gas,E_iph_liq
50, 5.000000000E-01, 1.000000000E-02, 0.000000000E+00, 1.793650727E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 9.936250352E+06, 7.906467739E+09, 0.000000000E+00, 8.250550000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.352197166E+06,-3.204019431E+03, 0.000000000E+00, 9.148744101E+05, 0.000000000E+00, 1.731235759E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.366870900E+02, 3.186636696E+03,-8.259152374E+06, 0.000000000E+00, 0.000000000E+00, 8.581924241E+05,-2.576916974E+08,-5.485313006E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.342732058E+05, 4.342732058E+05, 0.000000000E+00
55, 5.500000000E-01, 1.000000000E-02, 0.000000000E+00, 1.754766982E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.060458177E+07, 7.908173333E+09, 0.000000000E+00, 8.250605000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.349602409E+06,-4.163112156E+03, 0.000000000E+00, 9.148782669E+05, 0.000000000E+00, 1.705120504E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.363004862E+02, 3.756739675E+03,-5.630005280E+07, 0.000000000E+00, 0.000000000E+00, 8.608108246E+05,-3.453895668E+08,-1.398717773E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.900790406E+05, 7.900790406E+05, 0.000000000E+00
60, 6.000000000E-01, 1.000000000E-02, 0.000000000E+00, 1.746905747E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.031655896E+07, 7.912177446E+09, 0.000000000E+00, 8.250660000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.349276537E+06,-2.767636166E+03, 0.000000000E+00, 9.148821236E+05, 0.000000000E+00, 1.701694109E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.951822732E+02, 2.057169113E+03, 2.577584232E+06, 0.000000000E+00, 0.000000000E+00, 8.611603390E+05, 3.344481773E+07,-3.891236731E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.088736257E+06, 3.088736257E+06, 0.000000000E+00
65, 6.500000000E-01, 1.000000000E-02, 0.000000000E+00, 1.745723983E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.037572586E+07, 7.916128160E+09, 0.000000000E+00, 8.250715000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.352250935E+06,-2.744304967E+03, 0.000000000E+00, 9.148859804E+05, 0.000000000E+00, 1.731270403E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.872725184E+02, 1.956739695E+03, 8.486953218E+05, 0.000000000E+00, 0.000000000E+00, 8.582095847E+05,-4.691387780E+07, 5.873558601E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.035341055E+06, 3.035341055E+06, 0.000000000E+00
70, 7.000000000E-01, 1.000000000E-02, 0.000000000E+00, 1.743103792E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.047509442E+07, 7.920042064E+09, 0.000000000E+00, 8.250770000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.351168760E+06,-2.768150646E+03, 0.000000000E+00, 9.148898372E+05, 0.000000000E+00, 1.720280967E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.867338143E+02, 1.979009422E+03, 8.615474969E+05, 0.000000000E+00, 0.000000000E+00, 8.593154033E+05,-3.005016739E+07, 9.896554081E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.998526717E+06, 2.998526717E+06, 0.000000000E+00
75, 7.500000000E-01, 1.000000000E-02, 0.000000000E+00, 1.740264941E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.057390287E+07, 7.923952507E+09, 0.000000000E+00, 8.250825000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.347336298E+06,-2.805294818E+03, 0.000000000E+00, 9.148936940E+05, 0.000000000E+00, 1.681788666E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.880097087E+02, 2.012983321E+03, 1.232370346E+06, 0.000000000E+00, 0.000000000E+00, 8.631715084E+05,-1.082010189E+05, 9.797945300E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.995061857E+06, 2.995061857E+06, 0.000000000E+00
80, 8.000000000E-01, 1.000000000E-02, 0.000000000E+00, 1.719865503E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.128397947E+07, 7.927883876E+09, 0.000000000E+00, 8.250880000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.350929561E+06,-3.010965328E+03, 0.000000000E+00, 9.148975507E+05, 0.000000000E+00, 1.717553613E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.013634652E+02, 2.116348770E+03, 1.904208113E+06, 0.000000000E+00, 0.000000000E+00, 8.596018887E+05,-1.103263203E+08, 7.051632186E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.015969338E+06, 3.015969338E+06, 0.000000000E+00
85, 8.500000000E-01, 1.000000000E-02, 0.000000000E+00, 1.773484226E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 9.474502524E+06, 7.931723354E+09, 0.000000000E+00, 8.250935000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.349709831E+06,-2.666885845E+03, 0.000000000E+00, 9.149014075E+05, 0.000000000E+00, 1.705188633E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.136673274E+02, 2.104051259E+03,-3.098273912E+06, 0.000000000E+00, 0.000000000E+00, 8.608452616E+05,-1.609998178E+08,-1.838700780E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.924063313E+06, 2.924063313E+06, 0.000000000E+00
90, 9.000000000E-01, 1.000000000E-02, 0.000000000E+00, 1.803799321E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 8.524365706E+06, 7.934946812E+09, 0.000000000E+00, 8.250990000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.352065523E+06,-2.016851175E+03, 0.000000000E+00, 9.149052643E+05, 0.000000000E+00, 1.728577871E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.448786350E+02, 1.575900325E+03,-9.006248435E+05, 0.000000000E+00, 0.000000000E+00, 8.585132129E+05, 2.671373014E+08,-9.616674233E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.308208218E+06, 2.308208218E+06, 0.000000000E+00
95, 9.500000000E-01, 1.000000000E-02, 0.000000000E+00, 1.799368138E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 8.644580795E+06, 7.938184894E+09, 0.000000000E+00, 8.251045000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.354008674E+06,-2.093923508E+03, 0.000000000E+00, 9.149091211E+05, 0.000000000E+00, 1.747841699E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.273493464E+02, 1.549530911E+03, 1.382229649E+05, 0.000000000E+00, 0.000000000E+00, 8.565937051E+05,-5.137110373E+07, 1.177931895E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.322845396E+06, 2.322845396E+06, 0.000000000E+00
