step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in
0, 0.000000000E+00, 2.000000000E-02, 0.000000000E+00, 1.141563065E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.037817033E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 2.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.126159334E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.809449894E+05, 8.037887823E+10, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.160915596E+06,-3.775945413E+02, 0.000000000E+00, 4.125011000E+05, 0.000000000E+00, 3.359133958E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-7.085748017E-02, 5.269522667E-02,-6.985060955E+05, 0.000000000E+00, 0.000000000E+00, 7.658770423E+04, 1.630130135E+05, 1.667197041E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
2, 4.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.120689172E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 2.864287474E+05, 8.037966371E+10, 0.000000000E+00, 8.250044000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165456216E+06,-4.142982124E+02, 0.000000000E+00, 4.125022000E+05, 0.000000000E+00, 3.404518157E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.262176460E+01, 1.359814709E+00,-6.908448881E+05, 0.000000000E+00, 0.000000000E+00, 7.205038427E+04, 1.676118077E+05, 1.013048307E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
3, 6.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.117389539E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 3.867362463E+05, 8.038046861E+10, 0.000000000E+00, 8.250066000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165321823E+06,-4.611370064E+02, 0.000000000E+00, 4.125033000E+05, 0.000000000E+00, 3.403152225E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.193218195E+01, 1.187700203E+00,-6.845814474E+05, 0.000000000E+00, 0.000000000E+00, 7.218807750E+04, 1.646438866E+05, 8.800384718E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
4, 8.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.114687707E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 4.726881701E+05, 8.038128984E+10, 0.000000000E+00, 8.250088000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165737434E+06,-5.032854489E+02, 0.000000000E+00, 4.125044000E+05, 0.000000000E+00, 3.407286344E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.403835747E+01, 1.141094455E+00,-6.731567599E+05, 0.000000000E+00, 0.000000000E+00, 7.177576560E+04, 1.643715970E+05, 8.350479906E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 1.000000000E-01, 2.000000000E-02, 0.000000000E+00, 1.112460536E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.538530539E+05, 8.038211919E+10, 0.000000000E+00, 8.250110000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.164228023E+06,-5.297734199E+02, 0.000000000E+00, 4.125055000E+05, 0.000000000E+00, 3.392170228E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.746758137E+01, 1.178282274E+00,-6.623244611E+05, 0.000000000E+00, 0.000000000E+00, 7.328847717E+04, 1.669523926E+05, 8.468922442E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
6, 1.200000000E-01, 2.000000000E-02, 0.000000000E+00, 1.110614146E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.163644426E+05, 8.038296235E+10, 0.000000000E+00, 8.250132000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.162306097E+06,-5.720184047E+02, 0.000000000E+00, 4.125066000E+05, 0.000000000E+00, 3.372928966E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.153616922E+02, 1.274150727E+00,-6.491906430E+05, 0.000000000E+00, 0.000000000E+00, 7.521370340E+04, 1.697619133E+05, 8.207929562E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
7, 1.400000000E-01, 2.000000000E-02, 0.000000000E+00, 1.109313076E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.425468756E+05, 8.038383044E+10, 0.000000000E+00, 8.250154000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.159421642E+06,-6.055085067E+02, 0.000000000E+00, 4.125077000E+05, 0.000000000E+00, 3.344062421E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.409671530E+02, 1.378327734E+00,-6.329693218E+05, 0.000000000E+00, 0.000000000E+00, 7.810145787E+04, 1.744342197E+05, 7.047165771E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
8, 1.600000000E-01, 2.000000000E-02, 0.000000000E+00, 1.108599288E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.424479138E+05, 8.038472194E+10, 0.000000000E+00, 8.250176000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.161212272E+06,-5.975562159E+02, 0.000000000E+00, 4.125088000E+05, 0.000000000E+00, 3.361946720E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.482263919E+02, 1.427404119E+00,-6.245045292E+05, 0.000000000E+00, 0.000000000E+00, 7.631412800E+04, 1.787081714E+05, 5.733461830E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
9, 1.800000000E-01, 2.000000000E-02, 0.000000000E+00, 1.108549390E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.279184910E+05, 8.038562337E+10, 0.000000000E+00, 8.250198000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.163002911E+06,-5.772002642E+02, 0.000000000E+00, 4.125099000E+05, 0.000000000E+00, 3.379831114E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.425211602E+02, 1.477341552E+00,-6.196629142E+05, 0.000000000E+00, 0.000000000E+00, 7.452678860E+04, 1.824650976E+05, 5.403991542E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
10, 2.000000000E-01, 2.000000000E-02, 0.000000000E+00, 1.108671002E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.068973415E+05, 8.038653542E+10, 0.000000000E+00, 8.250220000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.163693531E+06,-5.503145324E+02, 0.000000000E+00, 4.125110000E+05, 0.000000000E+00, 3.386715310E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.317799177E+02, 1.537890384E+00,-6.149994040E+05, 0.000000000E+00, 0.000000000E+00, 7.383946900E+04, 1.855889644E+05, 4.878950306E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
11, 2.200000000E-01, 2.000000000E-02, 0.000000000E+00, 1.109115223E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.787889063E+05, 8.038745398E+10, 0.000000000E+00, 8.250242000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.166996731E+06,-5.441851015E+02, 0.000000000E+00, 4.125121000E+05, 0.000000000E+00, 3.419725309E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.223505208E+02, 1.690837331E+00,-6.177291881E+05, 0.000000000E+00, 0.000000000E+00, 7.053956910E+04, 1.837126604E+05, 4.273146823E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
