step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in
10, 5.009000000E+00, 1.000000000E-03, 0.000000000E+00, 2.274481276E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.879185407E+07, 5.675904781E+10, 0.000000000E+00, 8.255509900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.865247168E+04,-8.954745388E+04, 0.000000000E+00, 2.063877475E+04, 0.000000000E+00, 7.374922177E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.568671091E+04, 2.207461444E+04, 1.919768077E+07, 0.000000000E+00, 0.000000000E+00, 1.326385257E+04,-2.390454080E+07, 3.615420639E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
11, 5.010000000E+00, 1.000000000E-03, 0.000000000E+00, 2.277674127E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.875887521E+07, 5.677772288E+10, 0.000000000E+00, 8.255511000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.889326390E+04,-8.902238935E+04, 0.000000000E+00, 2.063877750E+04, 0.000000000E+00, 7.615708897E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.563256546E+04, 2.192831565E+04, 1.918765510E+07, 0.000000000E+00, 0.000000000E+00, 1.302306860E+04,-2.378981804E+07, 3.619673038E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
12, 5.011000000E+00, 1.000000000E-03, 0.000000000E+00, 2.281138436E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.870265034E+07, 5.679640605E+10, 0.000000000E+00, 8.255512100E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.897582553E+04,-8.845420634E+04, 0.000000000E+00, 2.063878025E+04, 0.000000000E+00, 7.698265033E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.551086788E+04, 2.179784853E+04, 1.914422444E+07, 0.000000000E+00, 0.000000000E+00, 1.294051522E+04,-2.386905446E+07, 3.154518160E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
13, 5.012000000E+00, 1.000000000E-03, 0.000000000E+00, 2.284749828E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.862464468E+07, 5.681510683E+10, 0.000000000E+00, 8.255513200E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.906526679E+04,-8.783374630E+04, 0.000000000E+00, 2.063878300E+04, 0.000000000E+00, 7.787700785E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.528505559E+04, 2.170263567E+04, 1.915744952E+07, 0.000000000E+00, 0.000000000E+00, 1.285108221E+04,-2.376983030E+07, 3.116911636E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
14, 5.013000000E+00, 1.000000000E-03, 0.000000000E+00, 2.288317606E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.852619947E+07, 5.683383441E+10, 0.000000000E+00, 8.255514300E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.858370166E+04,-8.708217251E+04, 0.000000000E+00, 2.063878575E+04, 0.000000000E+00, 7.306130155E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.478782983E+04, 2.170788144E+04, 1.916230063E+07, 0.000000000E+00, 0.000000000E+00, 1.333265559E+04,-2.389959968E+07, 2.914212588E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 5.014000000E+00, 1.000000000E-03, 0.000000000E+00, 2.291373869E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.850508063E+07, 5.685255467E+10, 0.000000000E+00, 8.255515400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.884513278E+04,-8.582530507E+04, 0.000000000E+00, 2.063878850E+04, 0.000000000E+00, 7.567555783E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.337177814E+04, 2.201707510E+04, 1.883278731E+07, 0.000000000E+00, 0.000000000E+00, 1.307123272E+04,-2.378747925E+07,-2.740016157E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
16, 5.015000000E+00, 1.000000000E-03, 0.000000000E+00, 2.295210766E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.847766356E+07, 5.687126762E+10, 0.000000000E+00, 8.255516500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.885201889E+04,-8.522764654E+04, 0.000000000E+00, 2.063879125E+04, 0.000000000E+00, 7.574436389E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.331267561E+04, 2.188060276E+04, 1.881712648E+07, 0.000000000E+00, 0.000000000E+00, 1.306435486E+04,-2.383459182E+07,-3.368664156E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
17, 5.016000000E+00, 1.000000000E-03, 0.000000000E+00, 2.299087900E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.845038394E+07, 5.688997310E+10, 0.000000000E+00, 8.255517600E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.897585816E+04,-8.465616454E+04, 0.000000000E+00, 2.063879400E+04, 0.000000000E+00, 7.698270162E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.322361855E+04, 2.173405436E+04, 1.881004847E+07, 0.000000000E+00, 0.000000000E+00, 1.294052384E+04,-2.377190391E+07,-3.354191176E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
18, 5.017000000E+00, 1.000000000E-03, 0.000000000E+00, 2.302839990E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.842345598E+07, 5.690867142E+10, 0.000000000E+00, 8.255518700E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.883139311E+04,-8.410777407E+04, 0.000000000E+00, 2.063879675E+04, 0.000000000E+00, 7.553799611E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.313536676E+04, 2.158923447E+04, 1.880314232E+07, 0.000000000E+00, 0.000000000E+00, 1.308499714E+04,-2.380377546E+07,-3.318269176E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
19, 5.018000000E+00, 1.000000000E-03, 0.000000000E+00, 2.306574242E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.839677978E+07, 5.692736261E+10, 0.000000000E+00, 8.255519800E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.890019562E+04,-8.356281177E+04, 0.000000000E+00, 2.063879950E+04, 0.000000000E+00, 7.622596615E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.304857643E+04, 2.144691252E+04, 1.879784876E+07, 0.000000000E+00, 0.000000000E+00, 1.301620288E+04,-2.378810181E+07,-3.292367616E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
