step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam,E_iph_sol,E_iph_gas,E_iph_liq
10, 2.000000000E-02, 2.000000000E-03, 0.000000000E+00, 2.056660038E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 9.118876981E+05, 7.884898397E+09, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250022000E+04,-7.576400952E+00, 0.000000000E+00, 8.250022000E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.817597225E+00, 4.441607446E+00, 2.728341535E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.644331676E+04, 1.048359385E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-8.832437847E+00,-8.832437847E+00, 0.000000000E+00
11, 2.200000000E-02, 2.000000000E-03, 0.000000000E+00, 2.028809809E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.741854571E+06, 7.885012790E+09, 0.000000000E+00, 8.250024200E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250024200E+04,-1.875668778E+01, 0.000000000E+00, 8.250024200E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.038363923E+00, 5.043353260E+00, 7.608613792E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.911488182E+04, 8.004398046E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.189058604E+04, 3.189058604E+04, 0.000000000E+00
12, 2.400000000E-02, 2.000000000E-03, 0.000000000E+00, 2.018361664E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 2.023143400E+06, 7.885152102E+09, 0.000000000E+00, 8.250026400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250026400E+04,-1.704469320E+01, 0.000000000E+00, 8.250026400E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.162745432E+00, 9.090695696E+00, 2.811722622E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.661346729E+04, 2.641322032E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.680724500E+04, 5.680724500E+04, 0.000000000E+00
13, 2.600000000E-02, 2.000000000E-03, 0.000000000E+00, 2.021332271E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.923293608E+06, 7.885274081E+09, 0.000000000E+00, 8.250028600E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250028600E+04,-1.118906637E+01, 0.000000000E+00, 8.250028600E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.963031254E+00, 1.138562801E+01,-2.763705135E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.625864893E+04,-1.166136136E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.947512880E+04, 3.947512880E+04, 0.000000000E+00
14, 2.800000000E-02, 2.000000000E-03, 0.000000000E+00, 2.035433655E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.480296038E+06, 7.885384592E+09, 0.000000000E+00, 8.250030800E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250030800E+04,-6.310294273E+00, 0.000000000E+00, 8.250030800E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.246029292E+00, 1.075187230E+01,-5.438250046E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.698539694E+04,-4.652571211E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.800686090E+04, 2.800686090E+04, 0.000000000E+00
15, 3.000000000E-02, 2.000000000E-03, 0.000000000E+00, 2.049551499E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.051381292E+06, 7.885489378E+09, 0.000000000E+00, 8.250033000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250033000E+04,-3.927065479E+00, 0.000000000E+00, 8.250033000E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.239477370E+00, 8.190016237E+00,-8.545400157E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.741288902E+06,-4.364369316E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.228338674E+04, 2.228338674E+04, 0.000000000E+00
16, 3.200000000E-02, 2.000000000E-03, 0.000000000E+00, 2.067148589E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 5.312773910E+05, 7.885577382E+09, 0.000000000E+00, 8.250035200E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250035200E+04, 4.157876333E-01, 0.000000000E+00, 8.250035200E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.370790544E+00, 5.939504505E+00,-1.064648966E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.885302377E+06,-5.255113273E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.503187619E+03, 5.503187619E+03, 0.000000000E+00
17, 3.400000000E-02, 2.000000000E-03, 0.000000000E+00, 2.076859129E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 2.356948916E+05, 7.885665741E+09, 0.000000000E+00, 8.250037400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250037400E+04, 2.993861589E-01, 0.000000000E+00, 8.250037400E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.774117970E-01, 3.156817136E+00,-4.262411708E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.916391038E+06,-2.978512423E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.858175013E+03, 5.858175013E+03, 0.000000000E+00
18, 3.600000000E-02, 2.000000000E-03, 0.000000000E+00, 2.080317041E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.356548703E+05, 7.885749367E+09, 0.000000000E+00, 8.250039600E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250039600E+04,-2.965592707E-01, 0.000000000E+00, 8.250039600E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.933798878E-01, 1.417625511E+00,-7.093606138E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.430211740E+06,-1.007471861E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.124619891E+03, 1.124619891E+03, 0.000000000E+00
19, 3.800000000E-02, 2.000000000E-03, 0.000000000E+00, 2.080286812E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.377067729E+05, 7.885831770E+09, 0.000000000E+00, 8.250041800E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250041800E+04,-7.824572118E-01, 0.000000000E+00, 8.250041800E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.172866658E-02, 7.752272266E-01, 1.279194295E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.855729063E+06, 1.782430791E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-9.701209053E+01,-9.701209053E+01, 0.000000000E+00
