name,E_arc_total,T_gas_max,T_gas_min,T_liquid_max,T_liquid_min,T_solid_max,T_solid_min,alpha_liquid_max,alpha_liquid_min,alpha_solid_max,alpha_solid_min,exit,m_gas_final,m_liq_final,m_melted_total,m_sol_final,n_snapshots,n_steps,pressure_max,pressure_min,t_final,wall_s
c2_dt20,12375140.8,582.5346282398605,300.0,300.0,300.0,304.5503172899123,300.0,0.0,0.0,0.55,0.0,0,110.4320515,0.0,0.0,669818.0861,3,8.0,14741.395278395901,0.0,0.16,1.2
c2_dt10,12787640.8,726.1713092844816,300.0,300.0,300.0,305.60409431673656,300.0,0.0,0.0,0.55,0.0,0,110.9029709,0.0,0.0,669818.0861,5,16.0,10062.613539966185,0.0,0.16,0.9
c2_dt05,12993890.8,1152.9069291643366,300.0,300.0,300.0,306.775544675775,300.0,0.0,0.0,0.55,0.0,0,110.3655434,0.0,0.0,669818.0861,8,32.0,5392.5909011364865,0.0,0.16,1.4
