name,E_arc_total,T_gas_max,T_gas_min,T_liquid_max,T_liquid_min,T_solid_max,T_solid_min,alpha_liquid_max,alpha_liquid_min,alpha_solid_max,alpha_solid_min,exit,m_gas_final,m_liq_final,m_melted_total,m_sol_final,n_snapshots,n_steps,pressure_max,pressure_min,t_final,wall_s
base,9772701180.005499,6212.074798606951,300.0,1796.8324799301374,300.0,1796.9330531753042,300.0,0.00022086467893728763,0.0,0.785096343090554,0.0,0,72.91805124,0.1426647782,2387.2255308705294,471464.2997,25,115000.0,91.58469865503555,-31.038216390752048,119.999,11452.2
beams_1e2,9772701180.005499,6032.081779617174,300.0,1723.4231336439489,228.19646583350186,1764.681940716398,300.0,0.00014813305696458097,0.0,0.7206384467510173,0.0,0,88.10464966,0.07795810705,1781.6168761003187,471464.3644,25,115000.0,425.15365670695786,-56.16465474018247,119.999,11443.2
beams_1e4,9772701180.005499,6155.079604027151,300.0,300.0,300.0,1429.1026870823387,300.0,0.0,0.0,0.6537218196160667,0.0,0,87.68751474,0.0,0.0,471464.4424,25,115000.0,156.5550273964114,0.0,119.999,11880.8
dpart_low,9772701180.005499,6212.074798606951,300.0,1796.8324799301374,300.0,1796.9330531753042,300.0,0.00022086467893728763,0.0,0.785096343090554,0.0,0,72.91805124,0.1426647782,2387.2255308705294,471464.2997,25,115000.0,91.58469865503555,-31.038216390752048,119.999,11934.8
dpart_high,9772701180.005499,6212.074798606951,300.0,1796.8324799301374,300.0,1796.9330531753042,300.0,0.00022086467893728763,0.0,0.785096343090554,0.0,0,72.91805124,0.1426647782,2387.2255308705294,471464.2997,25,115000.0,91.58469865503555,-31.038216390752048,119.999,11688.6
cfrac_2x,9772701180.005499,6217.5579212928005,300.0,1722.32339557346,300.0,1740.911664306294,300.0,0.00026279251259993724,0.0,0.7852067955029484,0.0,0,72.87326973,0.1520716273,2584.2412495340973,471464.2903,25,115000.0,88.66433202663477,-30.649775897678722,119.999,11645.7
frad_low,9772701180.005499,6512.2675567291535,300.0,1793.8522247441294,300.0,1793.968619060986,107.53600437510642,0.00020712354111423605,0.0,0.6537218196160667,0.0,0,85.96744138,0.0936365917,550.9571465050916,471464.3487,25,115000.0,112.28562097452081,0.0,119.999,11561.6
frad_high,9772701180.005499,5756.7858136399345,300.0,300.0,300.0,1586.0510716063272,300.0,0.0,0.0,0.6537218196160667,0.0,0,90.6541446,0.0,0.0,471464.4424,25,115000.0,212.84937251637427,0.0,119.999,10811.6
