step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in
0, 0.000000000E+00, 2.000000000E-02, 0.000000000E+00, 1.141563065E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.037817033E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 2.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.125693858E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.927687685E+05, 8.037888176E+10, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.160915596E+06,-6.220282592E+02, 0.000000000E+00, 4.125011000E+05, 0.000000000E+00, 3.359133958E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-7.085748017E-02, 5.269522667E-02,-6.850847131E+05, 0.000000000E+00, 0.000000000E+00, 7.658770423E+04, 1.336490717E+05, 1.771445542E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
2, 4.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.119968871E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 3.047575658E+05, 8.037967321E+10, 0.000000000E+00, 8.250044000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165456216E+06,-6.351431801E+02, 0.000000000E+00, 4.125022000E+05, 0.000000000E+00, 3.404518157E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.433528065E+01, 1.426253009E+00,-6.761376236E+05, 0.000000000E+00, 0.000000000E+00, 7.205038427E+04, 1.376888519E+05, 1.063813926E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
3, 6.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.116396749E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 4.064069941E+05, 8.038049193E+10, 0.000000000E+00, 8.250066000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165321823E+06,-6.579888517E+02, 0.000000000E+00, 4.125033000E+05, 0.000000000E+00, 3.403152225E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.487847556E+01, 1.279111869E+00,-6.688958988E+05, 0.000000000E+00, 0.000000000E+00, 7.218807750E+04, 1.396554041E+05, 8.808644855E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
4, 8.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.113763863E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 4.988297470E+05, 8.038131943E+10, 0.000000000E+00, 8.250088000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165737434E+06,-6.837481767E+02, 0.000000000E+00, 4.125044000E+05, 0.000000000E+00, 3.407286344E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.746511146E+01, 1.228895408E+00,-6.589213808E+05, 0.000000000E+00, 0.000000000E+00, 7.177576560E+04, 1.413536455E+05, 8.980422772E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 1.000000000E-01, 2.000000000E-02, 0.000000000E+00, 1.111417022E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.799824224E+05, 8.038215938E+10, 0.000000000E+00, 8.250110000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.164228023E+06,-7.072371576E+02, 0.000000000E+00, 4.125055000E+05, 0.000000000E+00, 3.392170228E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.280220322E+01, 1.267658227E+00,-6.494689874E+05, 0.000000000E+00, 0.000000000E+00, 7.328847717E+04, 1.428731388E+05, 8.516843734E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
6, 1.200000000E-01, 2.000000000E-02, 0.000000000E+00, 1.109443621E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.443958339E+05, 8.038301552E+10, 0.000000000E+00, 8.250132000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.162306097E+06,-7.480510464E+02, 0.000000000E+00, 4.125066000E+05, 0.000000000E+00, 3.372928966E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.197772413E+02, 1.364504701E+00,-6.387488640E+05, 0.000000000E+00, 0.000000000E+00, 7.521370340E+04, 1.446648653E+05, 7.766060803E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
7, 1.400000000E-01, 2.000000000E-02, 0.000000000E+00, 1.108136725E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.688082667E+05, 8.038389796E+10, 0.000000000E+00, 8.250154000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.159421642E+06,-7.762554216E+02, 0.000000000E+00, 4.125077000E+05, 0.000000000E+00, 3.344062421E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.459718932E+02, 1.499794771E+00,-6.248390959E+05, 0.000000000E+00, 0.000000000E+00, 7.810145787E+04, 1.470478282E+05, 6.207170551E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
8, 1.600000000E-01, 2.000000000E-02, 0.000000000E+00, 1.107607561E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.635109788E+05, 8.038480102E+10, 0.000000000E+00, 8.250176000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.161212272E+06,-7.666412649E+02, 0.000000000E+00, 4.125088000E+05, 0.000000000E+00, 3.361946720E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.537278362E+02, 1.581032272E+00,-6.169900803E+05, 0.000000000E+00, 0.000000000E+00, 7.631412800E+04, 1.492786382E+05, 5.114093236E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
9, 1.800000000E-01, 2.000000000E-02, 0.000000000E+00, 1.107773940E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.408284560E+05, 8.038571321E+10, 0.000000000E+00, 8.250198000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.163002911E+06,-7.379010246E+02, 0.000000000E+00, 4.125099000E+05, 0.000000000E+00, 3.379831114E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.468894846E+02, 1.630200123E+00,-6.141021362E+05, 0.000000000E+00, 0.000000000E+00, 7.452678860E+04, 1.523872542E+05, 4.672903403E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
