step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in
0, 0.000000000E+00, 2.000000000E-02, 0.000000000E+00, 1.141563065E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.037817033E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 2.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.126223395E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.794515710E+05, 8.037887763E+10, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.160915596E+06,-3.546455297E+02, 0.000000000E+00, 4.125011000E+05, 0.000000000E+00, 3.359133958E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-7.085748017E-02, 5.269522667E-02,-7.003709997E+05, 0.000000000E+00, 0.000000000E+00, 7.658770423E+04, 1.675638194E+05, 1.653932587E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
2, 4.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.120750167E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 2.855591554E+05, 8.037966203E+10, 0.000000000E+00, 8.250044000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165456216E+06,-4.098514965E+02, 0.000000000E+00, 4.125022000E+05, 0.000000000E+00, 3.404518157E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.240763833E+01, 1.354232488E+00,-6.912645290E+05, 0.000000000E+00, 0.000000000E+00, 7.205038427E+04, 1.680832061E+05, 1.019087954E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
3, 6.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.117476001E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 3.841199476E+05, 8.038046649E+10, 0.000000000E+00, 8.250066000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165321823E+06,-4.499623540E+02, 0.000000000E+00, 4.125033000E+05, 0.000000000E+00, 3.403152225E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.175160915E+01, 1.184206143E+00,-6.858982242E+05, 0.000000000E+00, 0.000000000E+00, 7.218807750E+04, 1.664772335E+05, 8.705639282E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
4, 8.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.114820540E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 4.668380626E+05, 8.038128853E+10, 0.000000000E+00, 8.250088000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165737434E+06,-4.804831515E+02, 0.000000000E+00, 4.125044000E+05, 0.000000000E+00, 3.407286344E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.345838415E+01, 1.129111138E+00,-6.752458857E+05, 0.000000000E+00, 0.000000000E+00, 7.177576560E+04, 1.683733356E+05, 8.053801993E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 1.000000000E-01, 2.000000000E-02, 0.000000000E+00, 1.112669279E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.472953595E+05, 8.038211680E+10, 0.000000000E+00, 8.250110000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.164228023E+06,-5.054795124E+02, 0.000000000E+00, 4.125055000E+05, 0.000000000E+00, 3.392170228E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.611222037E+01, 1.158908334E+00,-6.644642356E+05, 0.000000000E+00, 0.000000000E+00, 7.328847717E+04, 1.713662806E+05, 8.358352943E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
6, 1.200000000E-01, 2.000000000E-02, 0.000000000E+00, 1.110864322E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.093703947E+05, 8.038295789E+10, 0.000000000E+00, 8.250132000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.162306097E+06,-5.473895963E+02, 0.000000000E+00, 4.125066000E+05, 0.000000000E+00, 3.372928966E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.138845436E+02, 1.255357338E+00,-6.511654181E+05, 0.000000000E+00, 0.000000000E+00, 7.521370340E+04, 1.744353596E+05, 8.211703763E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
7, 1.400000000E-01, 2.000000000E-02, 0.000000000E+00, 1.109576344E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.353645464E+05, 8.038382373E+10, 0.000000000E+00, 8.250154000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.159421642E+06,-5.829672804E+02, 0.000000000E+00, 4.125077000E+05, 0.000000000E+00, 3.344062421E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.394487510E+02, 1.357060607E+00,-6.347668466E+05, 0.000000000E+00, 0.000000000E+00, 7.810145787E+04, 1.792801339E+05, 7.088404074E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
8, 1.600000000E-01, 2.000000000E-02, 0.000000000E+00, 1.108852969E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.356231434E+05, 8.038471307E+10, 0.000000000E+00, 8.250176000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.161212272E+06,-5.758763875E+02, 0.000000000E+00, 4.125088000E+05, 0.000000000E+00, 3.361946720E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.465621790E+02, 1.403923724E+00,-6.261664432E+05, 0.000000000E+00, 0.000000000E+00, 7.631412800E+04, 1.838015498E+05, 5.778862932E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
9, 1.800000000E-01, 2.000000000E-02, 0.000000000E+00, 1.108784929E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.217210420E+05, 8.038561251E+10, 0.000000000E+00, 8.250198000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.163002911E+06,-5.566410420E+02, 0.000000000E+00, 4.125099000E+05, 0.000000000E+00, 3.379831114E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.410095856E+02, 1.454339020E+00,-6.211496836E+05, 0.000000000E+00, 0.000000000E+00, 7.452678860E+04, 1.876527260E+05, 5.450562598E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
