step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 1.000000000E-02, 0.000000000E+00, 1.141563065E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.037817033E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 1.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.130434862E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 2.412133596E+05, 8.037871511E+10, 0.000000000E+00, 8.250011000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.125005500E+05,-3.599969798E+03, 0.000000000E+00, 4.125005500E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.542887559E-02, 2.634757818E-02,-5.579898538E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.060547856E+04, 2.015662097E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
2, 2.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.124412566E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 3.744228812E+05, 8.037932043E+10, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.125011000E+05,-5.788267772E+03, 0.000000000E+00, 4.125011000E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.151229922E+01, 3.634752259E+00,-6.963338070E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.343261086E+04, 1.430540149E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
3, 3.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.119982141E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.155527163E+05, 8.037995107E+10, 0.000000000E+00, 8.250033000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.125016500E+05,-2.152484595E+03, 0.000000000E+00, 4.125016500E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.863872474E+01, 3.466266291E+00,-7.340354251E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.728573640E+04, 1.202328453E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
4, 4.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.116761869E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.088222084E+05, 8.038060140E+10, 0.000000000E+00, 8.250044000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.125022000E+05,-1.359933949E+03, 0.000000000E+00, 4.125022000E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.764364994E+01, 4.908780173E+00,-7.402088653E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.008231038E+04, 9.231145080E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.114123382E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.788660686E+05, 8.038127276E+10, 0.000000000E+00, 8.250055000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.125027500E+05,-9.371206829E+02, 0.000000000E+00, 4.125027500E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.966792779E+01, 5.478301983E+00,-7.632290006E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.379555323E+04, 7.387250647E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
6, 6.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.112081112E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.380158782E+05, 8.038195624E+10, 0.000000000E+00, 8.250066000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.125033000E+05,-6.764479534E+02, 0.000000000E+00, 4.125033000E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.274612578E+01, 6.323134553E+00,-7.822869744E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.772504420E+04, 5.970865160E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
7, 7.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.110459079E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.866322754E+05, 8.038264993E+10, 0.000000000E+00, 8.250077000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.125038500E+05,-5.649357607E+02, 0.000000000E+00, 4.125038500E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.021347598E+02, 8.155462634E+00,-8.022320734E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.154899202E+04, 4.714916276E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
8, 8.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.109402143E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 8.167357625E+05, 8.038335242E+10, 0.000000000E+00, 8.250088000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.125044000E+05,-5.433896272E+02, 0.000000000E+00, 4.125044000E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.371996496E+02, 1.244305075E+01,-8.225213314E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.520282630E+04, 3.603651654E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
9, 9.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.108834991E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 8.282644398E+05, 8.038406306E+10, 0.000000000E+00, 8.250099000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.125049500E+05,-4.755572670E+02, 0.000000000E+00, 4.125049500E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.416296204E+02, 1.232772329E+01,-8.482474518E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.885280975E+04, 2.538243641E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
