step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 2.000000000E-02, 0.000000000E+00, 1.141563065E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.037817033E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 2.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.122368020E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 3.438154752E+05, 8.037886993E+10, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.160915596E+06,-1.600539786E+05, 0.000000000E+00, 4.125011000E+05, 0.000000000E+00, 3.359133958E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-7.186822686E-02, 5.373583785E-02,-4.069993979E+05, 0.000000000E+00, 0.000000000E+00, 7.658770423E+04, 2.297405975E+04, 2.887535756E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
2, 4.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.113727160E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.119378333E+05, 8.037969388E+10, 0.000000000E+00, 8.250044000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165456216E+06,-9.276366358E+04, 0.000000000E+00, 4.125022000E+05, 0.000000000E+00, 3.404518157E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.298037585E+01, 8.957759423E+00,-4.945960789E+05, 0.000000000E+00, 0.000000000E+00, 7.205038427E+04, 3.298564109E+04, 1.714230134E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
3, 6.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.108641151E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.309712872E+05, 8.038058030E+10, 0.000000000E+00, 8.250066000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165321823E+06,-3.745736485E+04, 0.000000000E+00, 4.125033000E+05, 0.000000000E+00, 3.403152225E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.377632597E+02, 1.327740855E+01,-5.483549908E+05, 0.000000000E+00, 0.000000000E+00, 7.218807750E+04, 4.377026766E+04, 1.104812092E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
4, 8.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.106142948E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.932916244E+05, 8.038149296E+10, 0.000000000E+00, 8.250088000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165737434E+06,-1.614486014E+04, 0.000000000E+00, 4.125044000E+05, 0.000000000E+00, 3.407286344E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.948485059E+02, 4.889670153E+01,-5.740207544E+05, 0.000000000E+00, 0.000000000E+00, 7.177576560E+04, 5.534323176E+04, 7.494760152E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 1.000000000E-01, 2.000000000E-02, 0.000000000E+00, 1.104861146E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.275343185E+05, 8.038241770E+10, 0.000000000E+00, 8.250110000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.164228023E+06,-7.288884663E+03, 0.000000000E+00, 4.125055000E+05, 0.000000000E+00, 3.392170228E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.281482900E+02, 1.942222786E+01,-5.859446357E+05, 0.000000000E+00, 0.000000000E+00, 7.328847717E+04, 6.667926984E+04, 5.491272175E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
6, 1.200000000E-01, 2.000000000E-02, 0.000000000E+00, 1.103985220E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.646554100E+05, 8.038334204E+10, 0.000000000E+00, 8.250132000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.162306097E+06,-4.335235708E+03, 0.000000000E+00, 4.125066000E+05, 0.000000000E+00, 3.372928966E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.615731128E+02, 6.193837974E+00,-5.900996803E+05, 0.000000000E+00, 0.000000000E+00, 7.521370340E+04, 7.734074305E+04, 5.019204545E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
7, 1.400000000E-01, 2.000000000E-02, 0.000000000E+00, 1.103246378E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.911267493E+05, 8.038427493E+10, 0.000000000E+00, 8.250154000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.159421642E+06,-2.860136659E+03, 0.000000000E+00, 4.125077000E+05, 0.000000000E+00, 3.344062421E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.699857034E+02, 3.943801730E+00,-5.911388823E+05, 0.000000000E+00, 0.000000000E+00, 7.810145787E+04, 8.680214706E+04, 3.804515348E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
8, 1.600000000E-01, 2.000000000E-02, 0.000000000E+00, 1.103201584E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.870743913E+05, 8.038521575E+10, 0.000000000E+00, 8.250176000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.161212272E+06,-2.152555867E+03, 0.000000000E+00, 4.125088000E+05, 0.000000000E+00, 3.361946720E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.853942719E+02, 3.070181368E+00,-5.916718676E+05, 0.000000000E+00, 0.000000000E+00, 7.631412800E+04, 9.486389333E+04, 3.157895276E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
9, 1.800000000E-01, 2.000000000E-02, 0.000000000E+00, 1.103883596E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.504958445E+05, 8.038616207E+10, 0.000000000E+00, 8.250198000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.163002911E+06,-1.743566027E+03, 0.000000000E+00, 4.125099000E+05, 0.000000000E+00, 3.379831114E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.903680654E+02, 2.745758569E+00,-5.908436115E+05, 0.000000000E+00, 0.000000000E+00, 7.452678860E+04, 1.031110427E+05, 2.868699466E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
