step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in
10, 5.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.113948590E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 8.165170388E+05, 8.038050226E+10, 0.000000000E+00, 8.250055000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.905394369E+05,-1.673507194E+03, 0.000000000E+00, 1.031256875E+05, 0.000000000E+00, 8.428806192E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.706542292E+01, 6.732370111E+00,-8.112285455E+04, 0.000000000E+00, 0.000000000E+00, 1.883762558E+04, 1.276140079E+04, 4.286642221E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
11, 5.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.112773445E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 8.541753136E+05, 8.038077276E+10, 0.000000000E+00, 8.250060500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.915021377E+05,-1.337521810E+03, 0.000000000E+00, 1.031257563E+05, 0.000000000E+00, 8.525062517E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.933289861E+01, 6.765081874E+00,-8.325812774E+04, 0.000000000E+00, 0.000000000E+00, 1.787513108E+04, 1.371143028E+04, 3.677948131E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
12, 6.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.111912878E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 8.822357676E+05, 8.038104617E+10, 0.000000000E+00, 8.250066000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.898866941E+05,-1.125305567E+03, 0.000000000E+00, 1.031258250E+05, 0.000000000E+00, 8.363504407E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.962032064E+01, 6.585841851E+00,-7.998542260E+04, 0.000000000E+00, 0.000000000E+00, 1.949078093E+04, 1.483669409E+04, 3.524135691E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
13, 6.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.110959316E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 9.340172151E+05, 8.038130553E+10, 0.000000000E+00, 8.250071500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.909181463E+05,-3.844800667E+02, 0.000000000E+00, 1.031258938E+05, 0.000000000E+00, 8.466635877E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.028837935E+01, 6.636521628E+00,-8.446025295E+04, 0.000000000E+00, 0.000000000E+00, 1.845953498E+04, 3.159913074E+04, 4.640444162E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
14, 7.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.106081074E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.233308312E+06, 8.038150148E+10, 0.000000000E+00, 8.250077000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.907120883E+05,-1.201570485E+02, 0.000000000E+00, 1.031259625E+05, 0.000000000E+00, 8.446016329E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.135994357E+01, 8.771230367E+00,-1.193876259E+05, 0.000000000E+00, 0.000000000E+00, 1.866579921E+04, 1.158729979E+05, 7.905624594E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 7.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.104007085E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.293638827E+06, 8.038169306E+10, 0.000000000E+00, 8.250082500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.604963549E+05,-1.309889991E+02, 0.000000000E+00, 1.031260312E+05, 0.000000000E+00, 5.424429244E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.649197955E+01, 6.857969304E+01,-1.233124412E+05, 0.000000000E+00, 0.000000000E+00, 4.888173881E+04, 1.579113098E+05, 4.829053336E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
16, 8.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.102487069E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.334804683E+06, 8.038189428E+10, 0.000000000E+00, 8.250088000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.605652793E+05,-1.300331861E+02, 0.000000000E+00, 1.031261000E+05, 0.000000000E+00, 5.431307933E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.253269664E+01, 5.099998100E+01,-1.250675350E+05, 0.000000000E+00, 0.000000000E+00, 4.881302067E+04, 1.665712887E+05, 3.340447861E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
17, 8.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.101374526E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.374641165E+06, 8.038209903E+10, 0.000000000E+00, 8.250093500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.616654655E+05,-1.379169065E+02, 0.000000000E+00, 1.031261687E+05, 0.000000000E+00, 5.541312801E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.986098080E+01, 4.377121010E+01,-1.219891003E+05, 0.000000000E+00, 0.000000000E+00, 4.771304074E+04, 1.696398925E+05, 3.435427834E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
18, 9.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.100611482E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.405785010E+06, 8.038230530E+10, 0.000000000E+00, 8.250099000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.600499956E+05,-1.500663487E+02, 0.000000000E+00, 1.031262375E+05, 0.000000000E+00, 5.379752056E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.425876140E+01, 4.221240602E+01,-1.222915278E+05, 0.000000000E+00, 0.000000000E+00, 4.932871694E+04, 1.694690957E+05, 2.791507589E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
19, 9.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.099887522E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.439207599E+06, 8.038251253E+10, 0.000000000E+00, 8.250104500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.609783057E+05,-1.687629360E+02, 0.000000000E+00, 1.031263062E+05, 0.000000000E+00, 5.472569318E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.155601798E+01, 4.339225671E+01,-1.196941605E+05, 0.000000000E+00, 0.000000000E+00, 4.840061307E+04, 1.695538241E+05, 3.044192419E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
