step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in
0, 0.000000000E+00, 1.000000000E-02, 0.000000000E+00, 1.141563065E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.037817033E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 1.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.130181192E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 2.486328152E+05, 8.037851225E+10, 0.000000000E+00, 8.250011000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.804570239E+05,-7.157179759E+04, 0.000000000E+00, 2.062502750E+05, 0.000000000E+00, 1.679564739E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.770895999E-02, 1.316954621E-02,-1.527758523E+05, 0.000000000E+00, 0.000000000E+00, 3.829380106E+04, 9.480019144E+03, 2.057841647E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
2, 2.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.124034983E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 3.840130495E+05, 8.037891626E+10, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.826578038E+05,-5.470916949E+04, 0.000000000E+00, 2.062505500E+05, 0.000000000E+00, 1.701567038E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.263134279E+01, 5.172711943E+00,-1.814021514E+05, 0.000000000E+00, 0.000000000E+00, 3.609384625E+04, 1.180579864E+04, 1.479817359E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
3, 3.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.119414256E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.143392022E+05, 8.037935231E+10, 0.000000000E+00, 8.250033000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.824523298E+05,-3.234885695E+04, 0.000000000E+00, 2.062508250E+05, 0.000000000E+00, 1.699506798E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.277064047E+01, 3.985417880E+00,-2.008484283E+05, 0.000000000E+00, 0.000000000E+00, 3.630014520E+04, 1.470964978E+04, 1.211543191E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
4, 4.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.116026696E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.408321367E+05, 8.037980046E+10, 0.000000000E+00, 8.250044000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.827968582E+05,-2.056361304E+04, 0.000000000E+00, 2.062511000E+05, 0.000000000E+00, 1.702946582E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.602647495E+01, 5.981024756E+00,-2.114994356E+05, 0.000000000E+00, 0.000000000E+00, 3.595644177E+04, 1.800375518E+04, 1.086204063E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.113240071E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.070283968E+05, 8.038027648E+10, 0.000000000E+00, 8.250055000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.817663784E+05,-1.267993918E+04, 0.000000000E+00, 2.062513750E+05, 0.000000000E+00, 1.692636284E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.722995603E+01, 7.791930933E+00,-2.218976245E+05, 0.000000000E+00, 0.000000000E+00, 3.698774658E+04, 2.088898656E+04, 7.478767635E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
6, 6.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.111126431E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.683753197E+05, 8.038076500E+10, 0.000000000E+00, 8.250066000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.808046464E+05,-8.134735061E+03, 0.000000000E+00, 2.062516500E+05, 0.000000000E+00, 1.683013464E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.270338017E+01, 7.496864177E+00,-2.254394261E+05, 0.000000000E+00, 0.000000000E+00, 3.795030360E+04, 2.415828937E+04, 6.219156265E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
7, 7.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.109415253E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 8.169203923E+05, 8.038126460E+10, 0.000000000E+00, 8.250077000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.795679093E+05,-4.822023708E+03, 0.000000000E+00, 2.062519250E+05, 0.000000000E+00, 1.670640593E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.048399032E+02, 8.211425560E+00,-2.291441100E+05, 0.000000000E+00, 0.000000000E+00, 3.918786575E+04, 2.748466162E+04, 4.882157616E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
8, 8.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.108263355E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 8.523918347E+05, 8.038177049E+10, 0.000000000E+00, 8.250088000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.804624415E+05,-3.182246827E+03, 0.000000000E+00, 2.062522000E+05, 0.000000000E+00, 1.679580415E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.286517445E+02, 1.075231483E+01,-2.330655796E+05, 0.000000000E+00, 0.000000000E+00, 3.829415847E+04, 3.046875080E+04, 4.071960143E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
9, 9.000000000E-02, 1.000000000E-02, 0.000000000E+00, 1.107541267E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 8.698748372E+05, 8.038228549E+10, 0.000000000E+00, 8.250099000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.812194746E+05,-2.429682958E+03, 0.000000000E+00, 2.062524750E+05, 0.000000000E+00, 1.687145246E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.823835892E+02, 1.805786912E+01,-2.368318255E+05, 0.000000000E+00, 0.000000000E+00, 3.753795045E+04, 3.357482578E+04, 2.894218569E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
