step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 5.000000000E+00, 0.000000000E+00, 1.436086458E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.657573308E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.004000000E+00, 1.000000000E-03, 0.000000000E+00, 1.015436390E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.607101756E+07, 5.659684965E+10, 0.000000000E+00, 8.255504400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.377056536E+08, 3.474780168E+11, 0.000000000E+00, 1.136722550E+07, 0.000000000E+00, 3.924396397E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.638079798E+04, 4.301161885E+04, 1.264956326E+12, 0.000000000E+00, 0.000000000E+00, 6.403234105E+07, 6.054951505E+11,-8.734531978E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
10, 5.009000000E+00, 1.000000000E-03, 0.000000000E+00, 1.063216780E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.321170503E+07, 5.659704341E+10, 0.000000000E+00, 8.255509900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.433310894E+05,-8.624085881E+04, 0.000000000E+00, 1.031938462E+05, 0.000000000E+00, 3.694339693E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.540074222E+04, 6.399705400E+04,-3.533776003E+06, 0.000000000E+00, 0.000000000E+00, 6.625044932E+04,-2.528196594E+08,-3.415103968E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 5.014000000E+00, 1.000000000E-03, 0.000000000E+00, 1.097100945E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.105331452E+07, 5.659713496E+10, 0.000000000E+00, 8.255515400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.436752308E+05,-7.665104446E+04, 0.000000000E+00, 1.031939150E+05, 0.000000000E+00, 3.728740080E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.106699138E+04, 5.736191779E+04,-2.785024056E+06, 0.000000000E+00, 0.000000000E+00, 6.590651420E+04,-2.445183181E+08,-2.571528544E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
20, 5.019000000E+00, 1.000000000E-03, 0.000000000E+00, 1.105060760E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.048560135E+07, 5.659722541E+10, 0.000000000E+00, 8.255520900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.456704773E+05,-7.342838858E+04, 0.000000000E+00, 1.031939838E+05, 0.000000000E+00, 3.928250976E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.913400306E+04, 5.477519802E+04,-7.560472995E+05, 0.000000000E+00, 0.000000000E+00, 6.391147399E+04,-2.420857840E+08,-6.519364696E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
25, 5.024000000E+00, 1.000000000E-03, 0.000000000E+00, 1.127994948E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.906482945E+07, 5.659731617E+10, 0.000000000E+00, 8.255526400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.431251873E+05,-7.117619418E+04, 0.000000000E+00, 1.031940525E+05, 0.000000000E+00, 3.673708227E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.876965870E+04, 5.398955302E+04,-1.896723934E+06, 0.000000000E+00, 0.000000000E+00, 6.645697023E+04,-2.412027207E+08,-1.692526659E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
30, 5.029000000E+00, 1.000000000E-03, 0.000000000E+00, 1.130474515E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.886051147E+07, 5.659740196E+10, 0.000000000E+00, 8.255531900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.436069222E+05,-6.743245668E+04, 0.000000000E+00, 1.031941213E+05, 0.000000000E+00, 3.721867967E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.730622916E+04, 5.030573768E+04,-5.544197771E+05, 0.000000000E+00, 0.000000000E+00, 6.597544158E+04,-2.408579827E+08,-3.789136982E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
35, 5.034000000E+00, 1.000000000E-03, 0.000000000E+00, 1.126793377E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.912246877E+07, 5.659749189E+10, 0.000000000E+00, 8.255537400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.452581918E+05,-6.877844539E+04, 0.000000000E+00, 1.031941900E+05, 0.000000000E+00, 3.886981177E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.757680071E+04, 5.078977333E+04,-5.473073694E+03, 0.000000000E+00, 0.000000000E+00, 6.432437823E+04,-2.407189013E+08, 1.388415035E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
40, 5.039000000E+00, 1.000000000E-03, 0.000000000E+00, 1.134405407E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.865096496E+07, 5.659758176E+10, 0.000000000E+00, 8.255542900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.450519664E+05,-6.804045622E+04, 0.000000000E+00, 1.031942588E+05, 0.000000000E+00, 3.866344891E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.771476312E+04, 5.107787754E+04,-7.720903765E+05, 0.000000000E+00, 0.000000000E+00, 6.453080984E+04,-2.406614823E+08,-5.574235409E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
45, 5.044000000E+00, 1.000000000E-03, 0.000000000E+00, 1.180265073E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.574712534E+07, 5.659766743E+10, 0.000000000E+00, 8.255548400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.455337032E+05,-5.909947246E+04, 0.000000000E+00, 1.031943275E+05, 0.000000000E+00, 3.914504818E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.619470782E+04, 4.722099051E+04,-3.599603536E+06, 0.000000000E+00, 0.000000000E+00, 6.404927932E+04,-2.406368373E+08,-3.285209632E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
